Time,ID,LAT,LON,ALT,Number of similar WiFis,SSID,Mac,Frequncy
2017-12-03 09:01:13,model=Lenovo PB2-690Y_device=PB2PRO,32.10344907131182,35.20923973447798,708.5804377769539,2, ,00:02:6f:8e:64:67,1
2017-12-03 08:41:07,model=SM-G950F_device=dreamlte,32.10398682674761,35.208972184356085,702.3784600290483,2, ,00:02:6f:b8:c4:1a,11
2017-12-03 08:39:10,model=SM-G950F_device=dreamlte,32.106089276564596,35.21106968179408,688.7624378298848,1,Gateway,00:0d:f0:3e:fa:ca,9
2017-12-03 08:37:36,model=SM-G950F_device=dreamlte,32.10263460161589,35.20757686137406,692.0341048029708,1,vladimir,00:0e:f4:c1:50:14,11
2017-12-03 08:41:47,model=SM-G950F_device=dreamlte,32.10236126185898,35.209664647727976,691.1283448325227,5,yosh,00:11:6b:11:02:b7,1
2017-12-03 08:50:04,model=SM-G950F_device=dreamlte,32.10479990244755,35.21028609718777,710.2818354386455,6,yosh,00:11:6b:11:7d:c7,13
2017-12-03 08:51:48,model=Lenovo PB2-690Y_device=PB2PRO,32.104665412175365,35.21081788597731,700.9937878266757,10,yosh,00:11:6b:11:7e:0c,1
2017-12-03 08:50:10,model=Lenovo PB2-690Y_device=PB2PRO,32.10492080273792,35.20973323805968,703.1072222548489,3,Cartiheal,00:11:6b:2a:90:3c,11
2017-12-03 08:37:15,model=SM-G950F_device=dreamlte,32.10251814263996,35.20734901460898,698.9056862429085,1,netbox-550b,00:12:2a:39:2c:3c,1
2017-12-03 08:38:43,model=SM-G950F_device=dreamlte,32.105480150114886,35.20995910039976,689.2878649448571,5, ,00:1a:2f:7f:6b:70,13
2017-12-03 08:37:13,model=SM-G950F_device=dreamlte,32.102528187003614,35.20734570155965,700.1622738859833,1,afikim-wifi,00:1a:dd:e3:06:e4,1
2017-12-03 08:39:13,model=SM-G950F_device=dreamlte,32.105962572338896,35.21055153552892,688.6825017110157,3,PEPWAVE_9481,00:1a:dd:f4:ef:04,1
2017-12-03 08:39:13,model=SM-G950F_device=dreamlte,32.10614939016676,35.21138726608906,688.8993666020681,1, ,00:1a:dd:f4:ef:c4,1
2017-12-03 08:39:10,model=SM-G950F_device=dreamlte,32.106089276564596,35.21106968179408,688.7624378298848,1,Afikim_Wifi,00:1a:dd:f4:ef:c5,1
2017-12-03 08:39:13,model=SM-G950F_device=dreamlte,32.10559996797917,35.21008394601984,689.0231325250428,5, ,00:1a:dd:f4:f5:c4,13
2017-12-03 08:39:13,model=SM-G950F_device=dreamlte,32.1051395482204,35.20907111905004,689.2440822092435,4,Afikim_Wifi,00:1a:dd:f4:f5:c5,13
2017-12-03 08:39:19,model=SM-G950F_device=dreamlte,32.106211489963755,35.21194838735254,689.2763252871639,1, ,00:1a:dd:f4:fc:64,1
2017-12-03 08:39:19,model=SM-G950F_device=dreamlte,32.106211489963755,35.21194838735254,689.2763252871639,1,Afikim_Wifi,00:1a:dd:f4:fc:65,1
2017-12-03 08:39:19,model=SM-G950F_device=dreamlte,32.106211489963755,35.21194838735254,689.2763252871639,1, ,00:1a:dd:f4:fc:84,8
2017-12-03 08:39:19,model=SM-G950F_device=dreamlte,32.106211489963755,35.21194838735254,689.2763252871639,1,Afikim_Wifi,00:1a:dd:f4:fc:85,8
2017-12-03 08:39:04,model=SM-G950F_device=dreamlte,32.10593532045871,35.21038076777716,688.6045855255679,1, ,00:1a:dd:f5:06:a4,13
2017-12-03 08:39:04,model=SM-G950F_device=dreamlte,32.10593532045871,35.21038076777716,688.6045855255679,1,Afikim_Wifi,00:1a:dd:f5:06:a5,13
2017-12-03 08:49:48,model=SM-G950F_device=dreamlte,32.10494482726751,35.210446896260514,717.6172124232385,1, ,00:1a:dd:f5:df:c4,6
